id,body part,target_area,name,equipment,level,description,gif_link
18,chest,Inner Chest,Single Arm Cable Crossover,Cable,Intermediate,Focuses contraction on inner chest by crossing arm fully.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_17.gif
19,chest,Middle Chest,Standing Cable Press,Cable,Beginner,Mimics dumbbell press while maintaining tension.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_18.gif
20,chest,Upper Chest,Incline Cable Press,Cable,Intermediate,Bench at 30–45° angle with low pulley start point.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_19.gif
21,chest,Middle Chest,Chest Press Machine,Machine,Beginner,Safe version of bench press for controlled pressing.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_20.gif
22,chest,Upper Chest,Incline Chest Press Machine,Machine,Beginner,Machine-based press at incline angle.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_21.gif
23,chest,Lower Chest,Decline Chest Press Machine,Machine,Beginner,Targets lower chest with stable support.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_22.gif
24,chest,Inner Chest,Pec Deck Fly,Machine,Beginner,Focus on squeezing pecs together at end of movement.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_23.gif
25,chest,Middle Chest,Seated Chest Press (Hammer Strength),Machine,Intermediate,Plate-loaded version mimicking dumbbell press.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_24.gif
26,chest,Upper Chest,Incline Hammer Press,Machine,Intermediate,Machine-based incline press with neutral grip.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_25.gif
27,chest,Middle Chest,Push-Up,Bodyweight,Beginner,Fundamental chest exercise with full range motion.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_26.gif
28,chest,Upper Chest,Decline Push-Up (Feet Elevated),Bodyweight,Beginner,Elevate feet to shift focus upward.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_27.gif
29,chest,Lower Chest,Incline Push-Up (Hands Elevated),Bodyweight,Beginner,Hands on a bench to hit the lower pecs.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_28.gif
30,chest,Lower Chest,Dips (Forward Lean),Bodyweight,Intermediate,Lean forward to target the lower chest fibers.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_29.gif
31,chest,Middle Chest,Wide Push-Up,Bodyweight,Beginner,Wider hand placement emphasizes outer and mid chest.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_30.gif
32,chest,Inner Chest,Diamond Push-Up,Bodyweight,Intermediate,Hands together forming a diamond to work inner chest.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_31.gif
33,chest,Middle Chest,Resistance Band Chest Press,Band,Beginner,Simulates bench press motion using resistance bands.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_32.gif
34,chest,Upper Chest,Resistance Band Incline Press,Band,Beginner,Anchor band low and press upward.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_33.gif
35,chest,Inner Chest,Resistance Band Crossover,Band,Beginner,Cross arms in front to hit the inner pecs.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_34.gif
36,chest,Upper Chest,Landmine Press,Barbell (Landmine),Intermediate,Press at an upward angle using landmine setup.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_35.gif
37,back,Middle Back,Barbell Bent-Over Row,Barbell,Intermediate,Classic back builder that targets the middle back and lats.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_36.gif
38,back,Lower Back,Barbell Deadlift,Barbell,Advanced,"Compound lift engaging the lower back, traps, and overall posterior chain.",https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_37.gif
39,back,Middle Back,Pendlay Row,Barbell,Advanced,Strict barbell row from the floor focusing on explosive pulling power.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_38.gif
40,back,Middle / Upper Back,T-Bar Row,Barbell,Intermediate,Thickens middle back and develops overall density.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_39.gif
41,back,Traps,Barbell Shrug,Barbell,Beginner,Targets upper traps for building thickness.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_40.gif
42,back,Lower Back / Traps,Rack Pull,Barbell,Advanced,Partial deadlift movement focusing on traps and spinal erectors.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_41.gif
43,back,Lats / Middle Back,One-Arm Dumbbell Row,Dumbbell,Intermediate,Single-arm movement focusing on lats and mid-back thickness.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_42.gif
44,back,Lower Back,Dumbbell Deadlift,Dumbbell,Intermediate,Deadlift variation targeting erector spinae and traps.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_43.gif
45,back,Upper Back / Lats,Incline Dumbbell Row,Dumbbell,Intermediate,Row on incline bench to isolate upper and mid-back.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_44.gif
46,back,Lats,Dumbbell Pullover,Dumbbell,Beginner,Isolation movement for expanding the rib cage and stretching lats.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_45.gif
47,back,Traps,Dumbbell Shrug,Dumbbell,Beginner,Effective for developing upper traps.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_46.gif
48,back,Middle Back,Seated Cable Row,Cable,Beginner,Controlled row for mid-back and rhomboid activation.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_47.gif
49,back,Lats / Upper Back,Lat Pulldown (Wide Grip),Cable,Beginner,Targets lats and upper back width.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_48.gif
50,back,Middle Back / Lats,Lat Pulldown (Close Grip),Cable,Beginner,Emphasizes inner lats and middle back thickness.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_49.gif
51,back,Lats,Straight Arm Pulldown,Cable,Intermediate,Isolation movement focusing on lat stretch and contraction.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_50.gif
52,back,Upper Back / Traps,Face Pull,Cable,Intermediate,"Strengthens rear delts, traps, and upper back.",https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_51.gif
53,back,Lower Lats,Reverse Grip Seated Row,Cable,Intermediate,Variation for lower lats activation and better contraction.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_52.gif
54,back,Middle Back,Machine Row,Machine,Beginner,Stable rowing motion to build mid-back safely.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_53.gif
55,back,Middle Back / Lats,Hammer Strength Row,Machine,Intermediate,Plate-loaded machine to develop mid and upper back.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_54.gif
56,back,Lats / Upper Back,Machine Lat Pulldown,Machine,Beginner,Controlled vertical pull for lats and upper back width.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_55.gif
57,back,Upper Back / Traps,Reverse Pec Deck (Rear Delt Fly Machine),Machine,Beginner,Works rear delts and traps for upper back development.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_56.gif
58,back,Lower Back,Lower Back Extension (Hyperextension),Machine,Beginner,Strengthens spinal erectors and lower back stability.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_57.gif
59,back,Lats / Upper Back,Pull-Up (Wide Grip),Bodyweight,Intermediate,Excellent compound movement for back width.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_58.gif
60,back,Lats / Middle Back,Chin-Up (Underhand Grip),Bodyweight,Intermediate,Focuses on lower lats and biceps involvement.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554118/exercise_59.gif
61,back,Middle Back,Inverted Row,Bodyweight,Beginner,Horizontal pull for mid-back and scapular control.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_60.gif
62,back,Lower Back,Back Extension (Floor or Bench),Bodyweight,Beginner,Bodyweight version of hyperextension for lower back.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_61.gif
63,back,Middle Back,Resistance Band Row,Band,Beginner,Simulates cable row for mid-back development.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_62.gif
64,back,Lats,Resistance Band Pulldown,Band,Beginner,Alternative to cable pulldown focusing on lats.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_63.gif
65,back,Traps / Upper Back,Resistance Band Face Pull,Band,Beginner,Strengthens traps and upper back with controlled tension.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_64.gif
66,back,Lower Back,Good Morning (Resistance Band),Band,Intermediate,Targets erector spinae for spinal stability and lower back strength.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_65.gif
67,shoulder,Front Delts / Lateral Delts,Overhead Press (Barbell),Barbell,Intermediate,Classic compound press for overall shoulder development.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_66.gif
68,shoulder,Rear Delts / Traps,Behind-the-Neck Press,Barbell,Advanced,Targets rear delts and traps; requires good mobility.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_67.gif
69,shoulder,Front Delts,Front Raise (Barbell),Barbell,Beginner,Isolation movement for front shoulders.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_68.gif
70,shoulder,Lateral Delts / Traps,Upright Row (Barbell),Barbell,Intermediate,Pull bar to chin level to target traps and side delts.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_69.gif
71,shoulder,Front Delts / Traps,Push Press,Barbell,Advanced,Explosive press using leg drive to lift heavier weight overhead.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_70.gif
72,shoulder,Front Delts / Lateral Delts,Dumbbell Shoulder Press,Dumbbell,Intermediate,Free-weight version of overhead press for balanced shoulder development.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_71.gif
73,shoulder,Front Delts / Lateral Delts,Arnold Press,Dumbbell,Intermediate,Rotational dumbbell press engaging all parts of the shoulder.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_72.gif
74,shoulder,Front Delts,Front Dumbbell Raise,Dumbbell,Beginner,Raises dumbbells forward to isolate the anterior deltoid.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_73.gif
75,shoulder,Lateral Delts,Lateral Dumbbell Raise,Dumbbell,Beginner,Raises dumbbells to the sides to widen shoulder appearance.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_74.gif
76,shoulder,Rear Delts / Traps,Bent-Over Reverse Fly,Dumbbell,Intermediate,Isolates the rear deltoid and upper traps.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_75.gif
77,shoulder,Traps,Dumbbell Shrug,Dumbbell,Beginner,Targets upper traps with full contraction at the top.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_76.gif
78,shoulder,Lateral Delts,Cable Lateral Raise,Cable,Intermediate,Constant tension on side delts during the raise.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_77.gif
79,shoulder,Front Delts,Cable Front Raise,Cable,Beginner,Smooth cable movement isolates anterior deltoid.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_78.gif
80,shoulder,Rear Delts / Traps,Reverse Cable Fly (Crossover),Cable,Intermediate,Pull cables apart to target rear delts.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_79.gif
81,shoulder,Rear Delts / Traps,Face Pull (Rope Attachment),Cable,Intermediate,"Strengthens rear delts, traps, and rotator cuff.",https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_80.gif
82,shoulder,Lateral Delts / Traps,Cable Upright Row,Cable,Intermediate,Pull cable upward for traps and delts activation.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_81.gif
83,shoulder,Front Delts / Lateral Delts,Seated Shoulder Press Machine,Machine,Beginner,Safe and stable press for shoulder development.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_82.gif
84,shoulder,Lateral Delts,Machine Lateral Raise,Machine,Beginner,Isolates side delts in a controlled motion.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_83.gif
85,shoulder,Rear Delts / Traps,Rear Delt Machine Fly,Machine,Beginner,Targets the posterior delts and upper traps.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_84.gif
86,shoulder,Front Delts / Lateral Delts,Smith Machine Overhead Press,Smith Machine,Intermediate,Guided press for shoulders; stable and safe.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_85.gif
87,shoulder,Front Delts,Pike Push-Up,Bodyweight,Intermediate,Bodyweight press variation focusing on front shoulders.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_86.gif
88,shoulder,Front Delts / Traps,Handstand Push-Up,Bodyweight,Advanced,Challenging movement building overhead pressing strength.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_87.gif
89,shoulder,Rear Delts / Traps,Inverted Row to Face Pull,Bodyweight,Intermediate,Combination movement for traps and rear delts.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_88.gif
90,shoulder,Front Delts,Resistance Band Front Raise,Band,Beginner,Simulates front dumbbell raise using resistance bands.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_89.gif
91,shoulder,Lateral Delts,Resistance Band Lateral Raise,Band,Beginner,Simulates dumbbell lateral raise with band resistance.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_90.gif
92,shoulder,Rear Delts / Traps,Resistance Band Pull Apart,Band,Beginner,Simple but effective rear delt and trap activator.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_91.gif
93,shoulder,Traps / Lateral Delts,Farmerâ€™s Carry,Functional,Intermediate,Hold heavy weights and walk to strengthen traps and stabilizers.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_92.gif
94,shoulder,Front Delts / Traps,Overhead Carry,Functional,Advanced,Walk with weights overhead for shoulder stability and strength.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_93.gif
95,arms,Biceps,Barbell Curl,Barbell,Beginner,Classic curl focusing on the main biceps muscle.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_94.gif
96,arms,Biceps,EZ Bar Curl,Barbell,Beginner,Reduces wrist strain while effectively targeting the biceps.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_95.gif
97,arms,Biceps,Reverse Grip Barbell Curl,Barbell,Intermediate,Overhand grip emphasizes forearms and brachialis.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_96.gif
98,arms,Biceps,Close-Grip Barbell Curl,Barbell,Intermediate,Focuses on inner head for peak bicep shape.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_97.gif
99,arms,Biceps,Drag Curl,Barbell,Intermediate,Keeps elbows back to isolate biceps with minimal shoulder involvement.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_98.gif
100,arms,Biceps,Dumbbell Curl,Dumbbell,Beginner,Fundamental exercise for overall biceps growth.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_99.gif
101,arms,Biceps,Alternating Dumbbell Curl,Dumbbell,Beginner,Allows better focus on each arm individually.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_100.gif
102,arms,Biceps,Hammer Curl,Dumbbell,Intermediate,Neutral grip targets brachialis and forearms.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_101.gif
103,arms,Biceps,Concentration Curl,Dumbbell,Intermediate,Isolates biceps for peak contraction.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_102.gif
104,arms,Biceps,Incline Dumbbell Curl,Dumbbell,Intermediate,Stretches biceps for full range of motion.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_103.gif
105,arms,Biceps,Zottman Curl,Dumbbell,Advanced,Combines curl and reverse curl for total arm development.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_104.gif
106,arms,Biceps,Cross-Body Hammer Curl,Dumbbell,Intermediate,Emphasizes inner arm and forearm engagement.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_105.gif
107,arms,Biceps,Cable Curl,Cable,Beginner,Constant tension on biceps throughout the movement.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_106.gif
108,arms,Biceps,Overhead Cable Curl,Cable,Intermediate,Curls with cables overhead for inner biceps focus.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_107.gif
109,arms,Biceps,Reverse Cable Curl,Cable,Intermediate,Targets forearms and deeper biceps muscles.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_108.gif
110,arms,Biceps,Single Arm Cable Curl,Cable,Beginner,Isolates each bicep with controlled tension.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_109.gif
111,arms,Biceps,Rope Hammer Curl (Cable),Cable,Intermediate,Uses rope handle to target inner arm and forearm.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_110.gif
112,arms,Biceps,Preacher Curl Machine,Machine,Beginner,Strict form machine for isolating biceps.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_111.gif
113,arms,Biceps,Seated Curl Machine,Machine,Beginner,Supports arms and limits swinging for focused biceps work.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_112.gif
114,arms,Biceps,Cable Preacher Curl,Machine,Intermediate,Cables provide tension through the full range of motion.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_113.gif
115,arms,Biceps,Machine Reverse Curl,Machine,Intermediate,Machine-assisted reverse curls for forearm emphasis.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_114.gif
116,arms,Biceps,Chin-Up (Underhand Grip),Bodyweight,Intermediate,Bodyweight exercise targeting biceps and back.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_115.gif
117,arms,Biceps,Towel Chin-Up,Bodyweight,Advanced,Enhances grip and forearm strength with biceps activation.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_116.gif
118,arms,Biceps,Resistance Band Curl,Band,Beginner,Simulates dumbbell curl with adjustable resistance.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_117.gif
119,arms,Biceps,Resistance Band Hammer Curl,Band,Beginner,Neutral grip version for inner and forearm muscles.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_118.gif
120,arms,Biceps,Reverse Band Curl,Band,Beginner,Overhand grip band curl for forearms and inner arm.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_119.gif
121,arms,Triceps,Close-Grip Bench Press,Barbell,Intermediate,Compound press that targets triceps while also involving chest and shoulders.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_120.gif
122,arms,Triceps,Barbell Skull Crusher (Lying Triceps Extension),Barbell,Intermediate,Classic isolation movement that emphasizes triceps stretch.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_121.gif
123,arms,Triceps,JM Press,Barbell,Advanced,Hybrid between close-grip press and skull crusher for maximum triceps overload.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_122.gif
124,arms,Triceps,Overhead Barbell Extension,Barbell,Intermediate,Excellent stretch and contraction on the long head.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_123.gif
125,arms,Triceps,Reverse Grip Bench Press,Barbell,Advanced,Unique press variation that targets inner triceps fibers.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_124.gif
126,arms,Triceps,Dumbbell Triceps Kickback,Dumbbell,Beginner,Focused movement for the outer (lateral) head.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_125.gif
127,arms,Triceps,Overhead Dumbbell Extension (Single or Both Hands),Dumbbell,Beginner,Stretches and contracts the long head of the triceps.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_126.gif
128,arms,Triceps,Seated Dumbbell French Press,Dumbbell,Intermediate,Great isolation for the long head with strict control.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_127.gif
129,arms,Triceps,Dumbbell Skull Crusher,Dumbbell,Intermediate,Lying triceps extension using dumbbells for unilateral balance.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_128.gif
130,arms,Triceps,Close-Grip Dumbbell Press,Dumbbell,Intermediate,Press variation emphasizing triceps push power.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_129.gif
131,arms,Triceps,Dumbbell Tate Press,Dumbbell,Advanced,Unique movement activating inner and outer triceps.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_130.gif
132,arms,Triceps,Cable Rope Pushdown,Cable,Beginner,Most popular triceps exercise with constant tension.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_131.gif
133,arms,Triceps,Cable Straight Bar Pushdown,Cable,Beginner,Focuses on the outer triceps with controlled movement.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_132.gif
134,arms,Triceps,Overhead Rope Extension (Cable),Cable,Intermediate,Targets the long head with overhead cable stretch.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_133.gif
135,arms,Triceps,Reverse Grip Cable Pushdown,Cable,Intermediate,Focuses on inner triceps with underhand grip.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_134.gif
136,arms,Triceps,Single Arm Cable Kickback,Cable,Intermediate,"Isolation work for outer triceps, one arm at a time.",https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_135.gif
137,arms,Triceps,Triceps Dips (Parallel Bars),Bodyweight,Intermediate,Great compound bodyweight move for full triceps activation.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_136.gif
138,arms,Triceps,Bench Dips,Bodyweight,Beginner,Easy bodyweight version for beginners to hit triceps.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_137.gif
139,arms,Triceps,Diamond Push-Up,Bodyweight,Beginner,Close-hand push-up emphasizing triceps contraction.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_138.gif
140,arms,Triceps,Handstand Push-Up (Triceps Focus),Bodyweight,Advanced,Bodyweight overhead press involving triceps and delts.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_139.gif
141,arms,Triceps,Machine Triceps Extension,Machine,Beginner,Safe and guided triceps isolation movement.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_140.gif
142,arms,Triceps,Seated Overhead Triceps Machine,Machine,Beginner,Machine-based overhead motion for long head focus.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_141.gif
143,arms,Triceps,Triceps Press (Smith Machine),Smith Machine,Intermediate,Controlled pressing movement for all triceps heads.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_142.gif
144,arms,Triceps,Resistance Band Pushdown,Band,Beginner,Simulates cable pushdowns using resistance bands.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_143.gif
145,arms,Triceps,Resistance Band Overhead Extension,Band,Beginner,Overhead stretch version for the long head of triceps.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_144.gif
